#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
51.3 135.033 56.6975 172.529 416.463
51.4 139.076 90.6545 170.816 382.506
51.5 144.755 128.296 169.811 344.864
51.6 151.249 165.938 169.724 307.222
51.7 158.179 199.895 170.734 273.265
51.8 165.349 226.843 172.918 246.317
51.9 172.647 244.145 176.144 229.015
52 1.83783e-13 250.107 9.91004e-14 223.053
52.1 7.35319 244.145 3.85599 229.015
52.2 14.651 226.843 7.08222 246.317
52.3 21.8212 199.895 9.26602 273.265
52.4 28.7513 165.938 10.2759 307.222
52.5 35.2449 128.296 10.1886 344.864
52.6 40.9237 90.6545 9.18413 382.506
52.7 44.9673 56.6975 7.4708 416.463
52.8 45.2774 29.749 5.24968 443.411
52.9 35.3365 12.447 2.70379 460.713
53 4.3671e-13 6.48516 2.55282e-14 466.675
53.1 144.664 12.447 177.296 460.713
53.2 134.723 29.749 174.75 443.411
53.3 135.033 56.6975 172.529 416.463
53.4 139.076 90.6545 170.816 382.506
53.5 144.755 128.296 169.811 344.864
53.6 151.249 165.938 169.724 307.222
53.7 158.179 199.895 170.734 273.265
53.8 165.349 226.843 172.918 246.317
53.9 172.647 244.145 176.144 229.015
54 180 250.107 180 223.053
54.1 7.35319 244.145 3.85599 229.015
54.2 14.651 226.843 7.08222 246.317
54.3 21.8212 199.895 9.26602 273.265
54.4 28.7513 165.938 10.2759 307.222
54.5 35.2449 128.296 10.1886 344.864
54.6 40.9237 90.6545 9.18413 382.506
54.7 44.9673 56.6975 7.4708 416.463
54.8 45.2774 29.749 5.24968 443.411
54.9 35.3365 12.447 2.70379 460.713
55 180 6.48516 180 466.675
55.1 144.664 12.447 177.296 460.713
55.2 134.723 29.749 174.75 443.411
55.3 135.033 56.6975 172.529 416.463
55.4 139.076 90.6545 170.816 382.506
55.5 144.755 128.296 169.811 344.864
55.6 151.249 165.938 169.724 307.222
55.7 158.179 199.895 170.734 273.265
55.8 165.349 226.843 172.918 246.317
55.9 172.647 244.145 176.144 229.015
56 180 250.107 180 223.053
56.1 7.35319 244.145 3.85599 229.015
56.2 14.651 226.843 7.08222 246.317
56.3 21.8212 199.895 9.26602 273.265
56.4 28.7513 165.938 10.2759 307.222
56.5 35.2449 128.296 10.1886 344.864
56.6 40.9237 90.6545 9.18413 382.506
56.7 44.9673 56.6975 7.4708 416.463
56.8 45.2774 29.749 5.24968 443.411
56.9 35.3365 12.447 2.70379 460.713
57 2.62191e-12 6.48516 1.53266e-13 466.675
57.1 144.664 12.447 177.296 460.713
57.2 134.723 29.749 174.75 443.411
57.3 135.033 56.6975 172.529 416.463
57.4 139.076 90.6545 170.816 382.506
57.5 144.755 128.296 169.811 344.864
57.6 151.249 165.938 169.724 307.222
57.7 158.179 199.895 170.734 273.265
57.8 165.349 226.843 172.918 246.317
57.9 172.647 244.145 176.144 229.015
58 5.80201e-17 250.107 3.12858e-17 223.053
58.1 7.35319 244.145 3.85599 229.015
58.2 14.651 226.843 7.08222 246.317
58.3 21.8212 199.895 9.26602 273.265
58.4 28.7513 165.938 10.2759 307.222
