#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
40.3 21.5425 196.618 9.05476 274.342
40.4 28.3546 163.359 10.055 307.601
40.5 34.7023 126.492 9.98183 344.468
40.6 40.1896 89.6241 9.00693 381.336
40.7 43.9656 56.3653 7.33246 414.595
40.8 43.893 29.971 5.15534 440.989
40.9 33.6244 13.0249 2.65608 457.935
41 2.16848e-12 7.1856 1.33851e-13 463.774
41.1 146.376 13.0249 177.344 457.935
41.2 136.107 29.971 174.845 440.989
41.3 136.034 56.3653 172.668 414.595
41.4 139.81 89.6241 170.993 381.336
41.5 145.298 126.492 170.018 344.468
41.6 151.645 163.359 169.945 307.601
41.7 158.458 196.618 170.945 274.342
41.8 165.527 223.012 173.088 247.948
41.9 172.733 239.959 176.24 231.002
42 4.54391e-14 245.798 2.41635e-14 225.162
42.1 7.26667 239.959 3.75974 231.002
42.2 14.4733 223.012 6.91197 247.948
42.3 21.5425 196.618 9.05476 274.342
42.4 28.3546 163.359 10.055 307.601
42.5 34.7023 126.492 9.98183 344.468
42.6 40.1896 89.6241 9.00693 381.336
42.7 43.9656 56.3653 7.33246 414.595
42.8 43.893 29.971 5.15534 440.989
42.9 33.6244 13.0249 2.65608 457.935
43 1.21965e-12 7.1856 7.52837e-14 463.774
43.1 146.376 13.0249 177.344 457.935
43.2 136.107 29.971 174.845 440.989
43.3 136.034 56.3653 172.668 414.595
43.4 139.81 89.6241 170.993 381.336
43.5 145.298 126.492 170.018 344.468
43.6 151.645 163.359 169.945 307.601
43.7 158.458 196.618 170.945 274.342
43.8 165.527 223.012 173.088 247.948
43.9 172.733 239.959 176.24 231.002
44 180 245.798 180 225.162
44.1 7.26667 239.959 3.75974 231.002
44.2 14.4733 223.012 6.91197 247.948
44.3 21.5425 196.618 9.05476 274.342
44.4 28.3546 163.359 10.055 307.601
44.5 34.7023 126.492 9.98183 344.468
44.6 40.1896 89.6241 9.00693 381.336
44.7 43.9656 56.3653 7.33246 414.595
44.8 43.893 29.971 5.15534 440.989
44.9 33.6244 13.0249 2.65608 457.935
45 2.70824e-13 7.1856 1.67168e-14 463.774
45.1 146.376 13.0249 177.344 457.935
45.2 136.107 29.971 174.845 440.989
45.3 136.034 56.3653 172.668 414.595
45.4 139.81 89.6241 170.993 381.336
45.5 145.298 126.492 170.018 344.468
45.6 151.645 163.359 169.945 307.601
45.7 158.458 196.618 170.945 274.342
45.8 165.527 223.012 173.088 247.948
45.9 172.733 239.959 176.24 231.002
46 180 245.798 180 225.162
46.1 7.26667 239.959 3.75974 231.002
46.2 14.4733 223.012 6.91197 247.948
46.3 21.5425 196.618 9.05476 274.342
46.4 28.3546 163.359 10.055 307.601
46.5 34.7023 126.492 9.98183 344.468
46.6 40.1896 89.6241 9.00693 381.336
46.7 43.9656 56.3653 7.33246 414.595
46.8 43.893 29.971 5.15534 440.989
46.9 33.6244 13.0249 2.65608 457.935
47 180 7.1856 180 463.774
47.1 146.376 13.0249 177.344 457.935
47.2 136.107 29.971 174.845 440.989
47.3 136.034 56.3653 172.668 414.595
47.4 139.81 89.6241 170.993 381.336
47.5 145.298 126.492 170.018 344.468
47.6 151.645 163.359 169.945 307.601
47.7 158.458 196.618 170.945 274.342
47.8 165.527 223.012 173.088 247.948
47.9 172.733 239.959 176.24 231.002
48 180 245.798 180 225.162
48.1 7.26667 239.959 3.75974 231.002
48.2 14.4733 223.012 6.91197 247.948
48.3 21.5425 196.618 9.05476 274.342
48.4 28.3546 163.359 10.055 307.601
48.5 34.7023 126.492 9.98183 344.468
